# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.reader.load.component.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1740241192694000000,1740241202555000000,0
workspaceModel.do.save.caches.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1740241192694000000,1740241202555000000,0
jps.global.get.libraries.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.instances.count,1740241192694000000,1740241202555000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1740241192694000000,1740241202555000000,0
workspaceModel.global.updates.count,1740241192694000000,1740241202555000000,0
jps.save.global.entities.ms,1740241192694000000,1740241202555000000,4
workspaceModel.moduleManagerBridge.load.all.modules.ms,1740241192694000000,1740241202555000000,0
jps.global.initialize.library.bridges.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1740241192694000000,1740241202555000000,0
workspaceModel.load.cache.metadata.from.file.ms,1740241192694000000,1740241202555000000,0
jps.app.storage.content.writer.save.component.ms,1740241192694000000,1740241202555000000,1
jps.global.handle.before.change.events.ms,1740241192694000000,1740241202555000000,0
jps.library.entities.serializer.load.entities.ms,1740241192694000000,1740241202555000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1740241192694000000,1740241202555000000,0
workspaceModel.load.cache.from.file.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1740241192694000000,1740241202555000000,0
jps.library.entities.serializer.save.entities.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1740241192694000000,1740241202555000000,0
workspaceModel.save.cache.to.file.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1740241192694000000,1740241202555000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1740241192694000000,1740241202555000000,0
workspaceModel.sync.entities.ms,1740241192694000000,1740241202555000000,0
workspaceModel.global.updates.ms,1740241192694000000,1740241202555000000,0
jps.load.initial.state.ms,1740241192694000000,1740241202555000000,13
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.entities.ms,1740241192694000000,1740241202555000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1740241192694000000,1740241202555000000,0
jps.global.initialize.library.bridges.after.loading.ms,1740241192694000000,1740241202555000000,1
workspaceModel.global.apply.state.to.project.ms,1740241192694000000,1740241202555000000,0
jps.global.get.library.by.name.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1740241192694000000,1740241202555000000,0
jps.global.get.library.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1740241192694000000,1740241202555000000,0
jps.global.handle.changed.events.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1740241192694000000,1740241202555000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1740241192694000000,1740241202555000000,0
FilePageCache.disposedBuffers,1740241192694000000,1740241202555000000,189
FilePageCacheLockFree.totalBytesRead,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesHandedOver,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.nativeBytesInUse,1740241192694000000,1740241202555000000,0
FilePageCache.maxRegisteredFiles,1740241192694000000,1740241202555000000,518
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1740241192694000000,1740241202555000000,41943040
FilePageCacheLockFree.totalPagesRequested,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1740241192694000000,1740241202555000000,0
DirectByteBufferAllocator.disposed,1740241192694000000,1740241202555000000,146
FilePageCache.pageLoads,1740241192694000000,1740241202555000000,189
FilePageCacheLockFree.totalBytesWritten,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesReadMs,1740241192694000000,1740241202555000000,0
StorageLockContext.competingThreads.avg,1740241192694000000,1740241202555000000,0.0
FilePageCacheLockFree.totalNativeBytesReclaimed,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesAllocated,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1740241192694000000,1740241202555000000,0
FilePageCache.maxCacheSizeInBytes,1740241192694000000,1740241202555000000,195035136
FilePageCacheLockFree.housekeeperTurnsSkipped,1740241192694000000,1740241202555000000,0
FilePageCache.uncachedFileAccess,1740241192694000000,1740241202555000000,328
FilePageCacheLockFree.totalNativeBytesAllocated,1740241192694000000,1740241202555000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesWritten,1740241192694000000,1740241202555000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1740241192694000000,1740241202555000000,41943040
DirectByteBufferAllocator.misses,1740241192694000000,1740241202555000000,186
FilePageCache.totalPageDisposalsUs,1740241192694000000,1740241202555000000,1083
FilePageCache.pageFastCacheHits,1740241192694000000,1740241202555000000,13116
FilePageCache.totalPageLoadsUs,1740241192694000000,1740241202555000000,104641
FilePageCacheLockFree.totalBytesRequested,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalPagesWriteMs,1740241192694000000,1740241202555000000,0
FilePageCache.capacityInBytes,1740241192694000000,1740241202555000000,503316478
FilePageCacheLockFree.totalPagesReclaimed,1740241192694000000,1740241202555000000,0
DirectByteBufferAllocator.reclaimed,1740241192694000000,1740241202555000000,43
StorageLockContext.competingThreads.max,1740241192694000000,1740241202555000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1740241192694000000,1740241202555000000,0
StorageLockContext.competingThreads.90P,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1740241192694000000,1740241202555000000,0
FilePageCacheLockFree.heapBytesInUse,1740241192694000000,1740241202555000000,0
DirectByteBufferAllocator.hits,1740241192694000000,1740241202555000000,3
FilePageCache.pageHits,1740241192694000000,1740241202555000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1740241192694000000,1740241202555000000,46942
NonBlockingReadAction.finalizedExecutionsCount,1740241192694000000,1740241202555000000,17
NonBlockingReadAction.failedExecutionTimeUs,1740241192694000000,1740241202555000000,0
AWTEventQueue.dispatchTimeTotalNS,1740241192694000000,1740241202555000000,6997923094
NonBlockingReadAction.failedExecutionsCount,1740241192694000000,1740241202555000000,0
DiskQueryRelay.tasksExecuted,1740241192694000000,1740241202555000000,14
DiskQueryRelay.taskWaitingTotalTimeUs,1740241192694000000,1740241202555000000,523
writeAction.wait.ms,1740241192694000000,1740241202555000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1740241192694000000,1740241202555000000,474
DiskQueryRelay.tasksRequested,1740241192694000000,1740241202555000000,14
writeAction.median.wait.ms,1740241192694000000,1740241202555000000,0
writeAction.max.wait.ms,1740241192694000000,1740241202555000000,1
writeAction.count,1740241192694000000,1740241202555000000,2
Indexing.writesQueuedMin,1740241192694000000,1740241202555000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1740241192694000000,1740241202555000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1740241192694000000,1740241202555000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1740241192694000000,1740241202555000000,0
Indexing.cache.totalCacheAccesses,1740241192694000000,1740241202555000000,0
Indexing.writesQueuedAvg,1740241192694000000,1740241202555000000,0.0
Indexing.cache.totalCacheEvicted,1740241192694000000,1740241202555000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1740241192694000000,1740241202555000000,0
Indexing.writesQueuedMax,1740241192694000000,1740241202555000000,0
Indexing.cache.totalCacheMisses,1740241192694000000,1740241202555000000,0
Indexing.totalTimeIndexersSleptMs,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValue.calculated.count,1740241192694000000,1740241202555000000,1
workspaceModel.collect.changes.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1740241192694000000,1740241202555000000,0
workspaceModel.on.changed.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValue.from.cache.count,1740241192694000000,1740241202555000000,6
workspaceModel.init.bridges.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValue.total.get.count,1740241192694000000,1740241202555000000,7
workspaceModel.loading.total.ms,1740241192694000000,1740241202555000000,3
workspaceModel.on.before.changed.ms,1740241192694000000,1740241202555000000,0
workspaceModel.updates.count,1740241192694000000,1740241202555000000,0
workspaceModel.update.unloaded.entities.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1740241192694000000,1740241202555000000,0
workspaceModel.initializing.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValue.clear.count,1740241192694000000,1740241202555000000,0
workspaceModel.replace.project.model.ms,1740241192694000000,1740241202555000000,0
workspaceModel.full.replace.project.model.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValueWithParameters.clear.count,1740241192694000000,1740241202555000000,0
workspaceModel.check.recursive.update.ms,1740241192694000000,1740241202555000000,0
workspaceModel.loading.from.cache.ms,1740241192694000000,1740241202555000000,1
workspaceModel.updates.precise.ms,1740241192694000000,1740241202555000000,0
workspaceModel.pre.handlers.ms,1740241192694000000,1740241202555000000,0
workspaceModel.updates.ms,1740241192694000000,1740241202555000000,0
workspaceModel.to.snapshot.ms,1740241192694000000,1740241202555000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1740241192694000000,1740241202555000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1740241192694000000,1740241202555000000,3
VFS.fileChildByName,1740241192694000000,1740241202555000000,13
VFS.fileByIdCache.misses,1740241192694000000,1740241202555000000,0
VFS.invertedFileNameIndex.requests,1740241192694000000,1740241202555000000,0
VFS.fileByIdCache.hits,1740241192694000000,1740241202555000000,0
cacheStateStorage.set.counter,1740241192694000000,1740241202555000000,7
cacheStateStorage.set.duration,1740241192694000000,1740241202555000000,10
cacheStateStorage.get.counter,1740241192694000000,1740241202555000000,10
cacheStateStorage.get.duration,1740241192694000000,1740241202555000000,0
